Time (s);Angle (rad);Angular Velocity (rad/s);Angular Acceleration (rad/s²);Position (m);Velocity (m/s);Acceleration (m/s²)
0,020;-0,003;;;-7,5000E-5;;
0,040;0,000;0,157;;0,0000;0,004;
0,060;0,003;0,209;2,618;7,5000E-5;0,005;0,062
0,080;0,008;0,262;2,945;1,8750E-4;0,006;0,070
0,100;0,014;0,327;3,272;3,3750E-4;0,008;0,078
0,120;0,020;0,393;3,600;4,8750E-4;0,009;0,086
0,140;0,030;0,471;3,600;7,1250E-4;0,011;0,086
0,160;0,039;0,550;3,272;9,3750E-4;0,013;0,078
0,180;0,052;0,602;2,945;0,0012;0,014;0,070
0,200;0,064;0,654;3,054;0,0015;0,016;0,073
0,220;0,077;0,720;3,382;0,0018;0,017;0,081
0,240;0,093;0,798;3,382;0,0022;0,019;0,081
0,260;0,110;0,864;3,163;0,0026;0,021;0,076
0,280;0,127;0,916;3,054;0,0030;0,022;0,073
0,300;0,146;0,982;3,163;0,0035;0,023;0,076
0,320;0,167;1,047;3,272;0,0040;0,025;0,078
0,340;0,188;1,113;3,272;0,0045;0,027;0,078
0,360;0,210;1,178;3,272;0,0050;0,028;0,078
0,380;0,236;1,244;3,272;0,0056;0,030;0,078
0,400;0,261;1,309;3,382;0,0062;0,031;0,081
0,420;0,287;1,374;3,491;0,0069;0,033;0,083
0,440;0,316;1,453;3,382;0,0075;0,035;0,081
0,460;0,346;1,518;3,163;0,0083;0,036;0,076
0,480;0,377;1,571;3,163;0,0090;0,038;0,076
0,500;0,408;1,636;3,382;0,0098;0,039;0,081
0,520;0,441;1,715;3,382;0,0105;0,041;0,081
0,540;0,478;1,780;3,054;0,0114;0,043;0,073
0,560;0,514;1,833;2,836;0,0123;0,044;0,068
0,580;0,550;1,885;2,945;0,0131;0,045;0,070
0,600;0,589;1,950;3,163;0,0141;0,047;0,076
0,620;0,628;2,016;3,272;0,0150;0,048;0,078
0,640;0,669;2,081;3,163;0,0160;0,050;0,076
0,660;0,712;2,147;2,945;0,0170;0,051;0,070
0,680;0,756;2,199;2,836;0,0180;0,052;0,068
0,700;0,800;2,251;2,945;0,0191;0,054;0,070
0,720;0,845;2,317;3,054;0,0202;0,055;0,073
0,740;0,892;2,382;2,836;0,0213;0,057;0,068
0,760;0,941;2,435;2,509;0,0225;0,058;0,060
0,780;0,990;2,474;2,509;0,0236;0,059;0,060
0,800;1,040;2,526;2,836;0,0248;0,060;0,068
0,820;1,090;2,592;3,163;0,0260;0,062;0,076
0,840;1,144;2,657;3,163;0,0273;0,063;0,076
0,860;1,197;2,723;2,945;0,0286;0,065;0,070
0,880;1,252;2,775;2,727;0,0299;0,066;0,065
0,900;1,308;2,827;2,618;0,0312;0,067;0,063
0,920;1,365;2,880;2,727;0,0326;0,069;0,065
0,940;1,423;2,932;2,945;0,0340;0,070;0,070
0,960;1,483;2,998;3,163;0,0354;0,072;0,076
0,980;1,543;3,063;3,163;0,0368;0,073;0,076
1,000;1,605;3,129;2,945;0,0383;0,075;0,070
1,020;1,668;3,181;2,836;0,0398;0,076;0,068
1,040;1,733;3,233;2,945;0,0414;0,077;0,070
1,060;1,797;3,299;3,163;0,0429;0,079;0,076
1,080;1,865;3,364;3,272;0,0445;0,080;0,078
1,100;1,932;3,430;3,272;0,0461;0,082;0,078
1,120;2,001;3,495;3,163;0,0478;0,083;0,076
1,140;2,072;3,560;3,054;0,0495;0,085;0,073
1,160;2,144;3,613;3,054;0,0512;0,086;0,073
1,180;2,216;3,678;3,163;0,0529;0,088;0,076
1,200;2,290;3,744;3,272;0,0547;0,089;0,078
1,220;2,367;3,809;3,272;0,0565;0,091;0,078
1,240;2,443;3,875;3,272;0,0583;0,092;0,078
1,260;2,521;3,940;3,163;0,0602;0,094;0,076
1,280;2,601;4,006;3,054;0,0621;0,096;0,073
1,300;2,681;4,058;3,163;0,0640;0,097;0,076
1,320;2,763;4,123;3,382;0,0660;0,098;0,081
1,340;2,846;4,202;3,382;0,0679;0,100;0,081
1,360;2,931;4,267;3,054;0,0700;0,102;0,073
1,380;3,018;4,320;2,836;0,0720;0,103;0,068
1,400;3,104;4,372;3,054;0,0741;0,104;0,073
1,420;3,192;4,438;3,382;0,0762;0,106;0,081
1,440;3,281;4,516;3,382;0,0783;0,108;0,081
1,460;3,373;4,581;3,054;0,0805;0,109;0,073
1,480;3,465;4,634;2,836;0,0827;0,111;0,068
1,500;3,558;4,686;2,945;0,0849;0,112;0,070
1,520;3,652;4,752;3,163;0,0872;0,113;0,076
1,540;3,748;4,817;3,163;0,0895;0,115;0,076
1,560;3,845;4,883;2,945;0,0918;0,117;0,070
1,580;3,943;4,935;2,727;0,0941;0,118;0,065
1,600;4,043;4,987;2,727;0,0965;0,119;0,065
1,620;4,142;5,040;3,054;0,0989;0,120;0,073
1,640;4,244;5,105;3,382;0,1013;0,122;0,081
1,660;4,346;5,184;3,382;0,1038;0,124;0,081
1,680;4,452;5,249;2,945;0,1063;0,125;0,070
1,700;4,557;5,301;2,618;0,1088;0,127;0,063
1,720;4,664;5,341;2,727;0,1113;0,128;0,065
1,740;4,771;5,406;3,054;0,1139;0,129;0,073
1,760;4,879;5,472;3,163;0,1165;0,131;0,076
1,780;4,990;5,537;2,945;0,1191;0,132;0,070
1,800;5,100;5,589;2,836;0,1218;0,133;0,068
1,820;5,213;5,642;2,945;0,1245;0,135;0,070
1,840;5,327;5,707;3,163;0,1272;0,136;0,076
1,860;5,441;5,773;3,272;0,1299;0,138;0,078
1,880;5,557;5,838;3,272;0,1327;0,139;0,078
1,900;5,675;5,904;3,163;0,1355;0,141;0,076
1,920;5,793;5,969;2,945;0,1383;0,142;0,070
1,940;5,914;6,021;2,836;0,1412;0,144;0,068
1,960;6,035;6,074;3,054;0,1441;0,145;0,073
1,980;6,156;6,139;3,382;0,1470;0,147;0,081
2,000;6,280;6,218;3,272;0,1499;0,148;0,078
2,020;6,406;6,283;2,836;0,1529;0,150;0,068
2,040;6,531;6,322;2,618;0,1559;0,151;0,062
2,060;6,659;6,375;2,836;0,1590;0,152;0,068
2,080;6,786;6,440;3,163;0,1620;0,154;0,076
2,100;6,916;6,506;3,272;0,1651;0,155;0,078
2,120;7,047;6,571;3,272;0,1682;0,157;0,078
