Time (s);Angle (rad);Angular Velocity (rad/s);Angular Acceleration (rad/s²);Position (m);Velocity (m/s);Acceleration (m/s²)
2,140;7,179;6,637;3,163;0,1714;0,158;0,076
2,160;7,312;6,702;2,945;0,1746;0,160;0,070
2,180;7,447;6,754;2,836;0,1778;0,161;0,068
2,200;7,582;6,807;2,945;0,1810;0,162;0,070
2,220;7,719;6,872;3,054;0,1843;0,164;0,073
2,240;7,857;6,938;2,945;0,1876;0,166;0,070
2,260;7,997;6,990;2,836;0,1909;0,167;0,068
2,280;8,137;7,042;3,054;0,1942;0,168;0,073
2,300;8,278;7,108;3,382;0,1976;0,170;0,081
2,320;8,421;7,186;3,382;0,2010;0,172;0,081
2,340;8,566;7,252;3,054;0,2045;0,173;0,073
2,360;8,712;7,304;2,836;0,2080;0,174;0,068
2,380;8,858;7,357;2,945;0,2115;0,176;0,070
2,400;9,005;7,422;3,163;0,2150;0,177;0,076
2,420;9,155;7,487;3,272;0,2185;0,179;0,078
2,440;9,305;7,553;3,272;0,2221;0,180;0,078
2,460;9,456;7,618;3,163;0,2257;0,182;0,076
2,480;9,610;7,684;2,945;0,2294;0,183;0,070
2,500;9,764;7,736;2,836;0,2331;0,185;0,068
2,520;9,920;7,789;2,836;0,2368;0,186;0,068
2,540;10,075;7,854;2,836;0,2405;0,188;0,068
2,560;10,234;7,906;2,727;0,2443;0,189;0,065
2,580;10,392;7,959;2,727;0,2481;0,190;0,065
2,600;10,551;8,011;2,945;0,2519;0,191;0,070
2,620;10,713;8,077;3,163;0,2557;0,193;0,076
2,640;10,875;8,142;3,272;0,2596;0,194;0,078
2,660;11,038;8,207;3,163;0,2635;0,196;0,076
2,680;11,203;8,273;2,945;0,2674;0,197;0,070
2,700;11,369;8,325;2,727;0,2714;0,199;0,065
2,720;11,536;8,378;2,727;0,2754;0,200;0,065
2,740;11,704;8,430;2,945;0,2794;0,201;0,070
2,760;11,874;8,495;3,163;0,2835;0,203;0,076
2,780;12,043;8,561;3,163;0,2875;0,204;0,076
2,800;12,216;8,626;2,945;0,2916;0,206;0,070
2,820;12,389;8,679;2,836;0,2958;0,207;0,068
2,840;12,563;8,731;2,945;0,2999;0,208;0,070
2,860;12,738;8,796;3,163;0,3041;0,210;0,076
2,880;12,915;8,862;3,163;0,3083;0,212;0,076
2,900;13,093;8,927;3,054;0,3126;0,213;0,073
2,920;13,272;8,980;3,054;0,3168;0,214;0,073
2,940;13,452;9,045;3,054;0,3211;0,216;0,073
2,960;13,633;9,111;2,945;0,3255;0,218;0,070
2,980;13,817;9,163;2,727;0,3298;0,219;0,065
3,000;14,001;9,215;2,727;0,3342;0,220;0,065
3,020;14,184;9,268;3,054;0,3386;0,221;0,073
3,040;14,371;9,333;3,382;0,3431;0,223;0,081
3,060;14,558;9,412;3,491;0,3475;0,225;0,083
3,080;14,747;9,477;3,272;0,3520;0,226;0,078
3,100;14,938;9,543;2,945;0,3566;0,228;0,070
3,120;15,128;9,595;2,836;0,3612;0,229;0,068
3,140;15,322;9,647;2,945;0,3658;0,230;0,070
3,160;15,515;9,713;3,272;0,3704;0,232;0,078
3,180;15,710;9,778;3,491;0,3750;0,233;0,083
3,200;15,906;9,857;3,382;0,3797;0,235;0,081
3,220;16,104;9,922;3,054;0,3844;0,237;0,073
3,240;16,303;9,975;2,727;0,3892;0,238;0,065
3,260;16,503;10,027;2,727;0,3940;0,239;0,065
3,280;16,704;10,079;2,945;0,3988;0,241;0,070
3,300;16,906;10,145;3,163;0,4036;0,242;0,076
3,320;17,109;10,210;3,163;0,4084;0,244;0,076
3,340;17,315;10,276;2,836;0,4134;0,245;0,068
3,360;17,521;10,328;2,509;0,4183;0,247;0,060
3,380;17,728;10,367;2,509;0,4232;0,247;0,060
3,400;17,935;10,420;2,945;0,4282;0,249;0,070
3,420;18,144;10,485;3,382;0,4332;0,250;0,081
3,440;18,355;10,564;3,491;0,4382;0,252;0,083
3,460;18,567;10,629;3,382;0,4432;0,254;0,081
3,480;18,780;10,695;3,163;0,4483;0,255;0,076
3,500;18,994;10,760;2,945;0,4534;0,257;0,070
3,520;19,211;10,812;2,836;0,4586;0,258;0,068
3,540;19,428;10,865;3,054;0,4638;0,259;0,073
3,560;19,644;10,930;3,491;0,4690;0,261;0,083
3,580;19,864;11,009;3,709;0,4742;0,263;0,089
3,600;20,086;11,087;3,491;0,4795;0,265;0,083
3,620;20,307;11,153;3,054;0,4848;0,266;0,073
3,640;20,532;11,205;2,836;0,4902;0,267;0,068
3,660;20,757;11,257;3,054;0,4955;0,269;0,073
3,680;20,981;11,323;3,382;0,5009;0,270;0,081
3,700;21,209;11,401;3,382;0,5063;0,272;0,081
3,720;21,438;11,467;3,163;0,5118;0,274;0,076
3,740;21,668;11,519;3,054;0,5173;0,275;0,073
3,760;21,898;11,585;3,054;0,5228;0,277;0,073
3,780;22,131;11,650;2,945;0,5283;0,278;0,070
3,800;22,365;11,702;2,836;0,5339;0,279;0,068
3,820;22,599;11,755;2,945;0,5395;0,281;0,070
3,840;22,835;11,820;3,054;0,5451;0,282;0,073
3,860;23,072;11,886;2,945;0,5508;0,284;0,070
3,880;23,311;11,938;2,836;0,5565;0,285;0,068
3,900;23,549;11,990;2,945;0,5622;0,286;0,070
3,920;23,790;12,056;2,945;0,5679;0,288;0,070
3,940;24,032;12,121;2,400;0,5737;0,289;0,057
3,960;24,275;12,161;1,418;0,5795;0,290;0,034
3,980;24,519;12,174;0,545;0,5853;0,291;0,013
4,000;24,762;12,174;-1,110E-12;0,5911;0,291;2,776E-14
4,020;25,006;12,174;-0,327;0,5970;0,291;-0,008
4,040;25,249;12,161;-0,436;0,6028;0,290;-0,010
4,060;25,492;12,148;-0,218;0,6086;0,290;-0,005
4,080;25,734;12,148;0,218;0,6144;0,290;0,005
4,100;25,978;12,161;0,436;0,6202;0,290;0,010
4,120;26,221;12,174;0,327;0,6260;0,291;0,008
4,140;26,465;12,174;0,109;0,6318;0,291;0,003
4,160;26,708;12,174;1,910E-12;0,6376;0,291;2,776E-14
4,180;26,952;12,174;-2,620E-12;0,6434;0,291;-2,776E-14
4,200;27,195;12,174;-0,109;0,6492;0,291;-0,003
4,220;27,439;12,174;-0,327;0,6550;0,291;-0,008
4,240;27,682;12,161;-0,436;0,6609;0,290;-0,010
4,260;27,926;12,148;-0,327;0,6667;0,290;-0,008
4,280;28,168;12,148;-0,109;0,6724;0,290;-0,003
4,300;28,411;12,148;-0,109;0,6783;0,290;-0,003
4,320;28,654;12,148;-0,327;0,6841;0,290;-0,008
4,340;28,896;12,134;-0,436;0,6898;0,290;-0,010
4,360;29,140;12,121;-0,327;0,6957;0,289;-0,008
4,380;29,382;12,121;-0,109;0,7014;0,289;-0,003
4,400;29,624;12,121;-0,109;0,7072;0,289;-0,003
4,420;29,867;12,121;-0,436;0,7130;0,289;-0,010
4,440;30,109;12,108;-0,764;0,7188;0,289;-0,018
4,460;30,351;12,082;-0,764;0,7246;0,288;-0,018
4,480;30,593;12,069;-0,327;0,7303;0,288;-0,008
4,500;30,833;12,069;0,109;0,7361;0,288;0,003
4,520;31,075;12,082;0,109;0,7419;0,288;0,003
4,540;31,317;12,082;-0,109;0,7476;0,288;-0,003
4,560;31,559;12,069;-0,218;0,7534;0,288;-0,005
4,580;31,799;12,069;-0,109;0,7591;0,288;-0,003
4,600;32,041;12,069;1,510E-12;0,7649;0,288;-9,992E-14
4,620;32,283;12,069;0,109;0,7707;0,288;0,003
4,640;32,523;12,069;0,218;0,7764;0,288;0,005
4,660;32,765;12,082;0,109;0,7822;0,288;0,003
4,680;33,007;12,082;-0,109;0,7880;0,288;-0,003
4,700;33,249;12,069;-0,218;0,7938;0,288;-0,005
4,720;33,489;12,069;-0,218;0,7995;0,288;-0,005
4,740;33,731;12,069;;0,8053;0,288;
4,760;33,973;12,056;;0,8110;0,288;
4,780;34,214;;;0,8168;;
