Time (s);Angle (rad);Angular Velocity (rad/s);Angular Acceleration (rad/s²);Position (m);Velocity (m/s);Acceleration (m/s²)
0,020;-0,002;;;-3,7500E-5;;
0,040;-0,002;0,039;;-3,7500E-5;9,375E-4;
0,060;0,000;0,105;2,291;0,0000;0,002;0,055
0,080;0,003;0,131;0,545;7,5000E-5;0,003;0,013
0,100;0,006;0,118;-0,654;1,5000E-4;0,003;-0,016
0,120;0,008;0,092;-0,982;1,8750E-4;0,002;-0,023
0,140;0,009;0,065;-0,436;2,2500E-4;0,002;-0,010
0,160;0,011;0,065;0,654;2,6250E-4;0,002;0,016
0,180;0,011;0,092;1,854;2,6250E-4;0,002;0,044
0,200;0,014;0,144;2,727;3,3750E-4;0,003;0,065
0,220;0,017;0,209;3,163;4,1250E-4;0,005;0,076
0,240;0,022;0,275;3,272;5,2500E-4;0,007;0,078
0,260;0,028;0,340;3,272;6,7500E-4;0,008;0,078
0,280;0,036;0,406;3,163;8,6250E-4;0,010;0,076
0,300;0,044;0,471;2,945;0,0010;0,011;0,070
0,320;0,055;0,524;2,727;0,0013;0,012;0,065
0,340;0,066;0,576;2,727;0,0016;0,014;0,065
0,360;0,077;0,628;2,836;0,0018;0,015;0,068
0,380;0,091;0,694;2,727;0,0022;0,017;0,065
0,400;0,105;0,746;2,509;0,0025;0,018;0,060
0,420;0,121;0,785;2,509;0,0029;0,019;0,060
0,440;0,137;0,838;2,836;0,0033;0,020;0,068
0,460;0,154;0,903;3,163;0,0037;0,022;0,076
0,480;0,173;0,969;3,272;0,0041;0,023;0,078
0,500;0,193;1,034;3,163;0,0046;0,025;0,076
0,520;0,214;1,100;2,945;0,0051;0,026;0,070
0,540;0,237;1,152;2,727;0,0057;0,028;0,065
0,560;0,261;1,204;2,727;0,0062;0,029;0,065
0,580;0,284;1,257;2,945;0,0068;0,030;0,070
0,600;0,311;1,322;3,054;0,0074;0,032;0,073
0,620;0,338;1,388;3,054;0,0081;0,033;0,073
0,640;0,366;1,440;3,054;0,0087;0,034;0,073
0,660;0,396;1,505;3,054;0,0094;0,036;0,073
0,680;0,426;1,571;2,945;0,0102;0,037;0,070
0,700;0,459;1,623;2,727;0,0109;0,039;0,065
0,720;0,492;1,676;2,727;0,0117;0,040;0,065
0,740;0,525;1,728;2,945;0,0125;0,041;0,070
0,760;0,561;1,793;3,163;0,0134;0,043;0,076
0,780;0,597;1,859;3,272;0,0142;0,044;0,078
0,800;0,635;1,924;3,163;0,0151;0,046;0,076
0,820;0,674;1,990;2,945;0,0161;0,047;0,070
0,840;0,715;2,042;2,836;0,0171;0,049;0,068
0,860;0,756;2,094;2,945;0,0180;0,050;0,070
0,880;0,798;2,160;3,054;0,0190;0,052;0,073
0,900;0,842;2,225;2,836;0,0201;0,053;0,068
0,920;0,888;2,278;2,509;0,0212;0,054;0,060
0,940;0,933;2,317;2,509;0,0223;0,055;0,060
0,960;0,980;2,369;2,836;0,0234;0,057;0,068
0,980;1,027;2,435;3,163;0,0245;0,058;0,076
1,000;1,078;2,500;3,163;0,0257;0,060;0,076
1,020;1,128;2,566;2,945;0,0269;0,061;0,070
1,040;1,180;2,618;2,836;0,0282;0,062;0,068
1,060;1,233;2,670;2,945;0,0294;0,064;0,070
1,080;1,286;2,736;3,163;0,0307;0,065;0,076
1,100;1,341;2,801;3,163;0,0320;0,067;0,076
1,120;1,400;2,867;2,945;0,0334;0,068;0,070
1,140;1,456;2,919;2,836;0,0348;0,070;0,068
1,160;1,516;2,971;2,945;0,0362;0,071;0,070
1,180;1,576;3,037;3,163;0,0376;0,073;0,076
1,200;1,637;3,102;3,163;0,0391;0,074;0,076
1,220;1,700;3,168;2,945;0,0406;0,076;0,070
1,240;1,764;3,220;2,836;0,0421;0,077;0,068
1,260;1,828;3,272;3,054;0,0436;0,078;0,073
1,280;1,894;3,338;3,382;0,0452;0,080;0,081
1,300;1,962;3,416;3,382;0,0468;0,082;0,081
1,320;2,031;3,482;3,054;0,0485;0,083;0,073
1,340;2,102;3,534;2,836;0,0502;0,084;0,068
1,360;2,172;3,587;2,945;0,0519;0,086;0,070
1,380;2,245;3,652;3,163;0,0536;0,087;0,076
1,400;2,318;3,718;3,272;0,0553;0,089;0,078
1,420;2,394;3,783;3,272;0,0571;0,090;0,078
1,440;2,469;3,848;3,163;0,0589;0,092;0,076
1,460;2,548;3,914;2,945;0,0608;0,093;0,070
1,480;2,626;3,966;2,836;0,0627;0,095;0,068
1,500;2,706;4,019;2,945;0,0646;0,096;0,070
1,520;2,787;4,084;3,054;0,0665;0,098;0,073
1,540;2,870;4,150;2,836;0,0685;0,099;0,068
1,560;2,953;4,202;2,509;0,0705;0,100;0,060
1,580;3,038;4,241;2,509;0,0725;0,101;0,060
1,600;3,123;4,294;2,836;0,0745;0,103;0,068
1,620;3,209;4,359;3,163;0,0766;0,104;0,076
1,640;3,297;4,424;3,163;0,0787;0,106;0,076
1,660;3,387;4,490;2,945;0,0808;0,107;0,070
1,680;3,476;4,542;2,727;0,0830;0,108;0,065
1,700;3,569;4,595;2,618;0,0852;0,110;0,062
1,720;3,660;4,647;2,727;0,0874;0,111;0,065
1,740;3,754;4,699;2,945;0,0896;0,112;0,070
1,760;3,848;4,765;3,163;0,0919;0,114;0,076
1,780;3,944;4,830;3,163;0,0942;0,115;0,076
1,800;4,042;4,896;2,945;0,0965;0,117;0,070
1,820;4,141;4,948;2,727;0,0988;0,118;0,065
1,840;4,240;5,000;2,618;0,1012;0,119;0,063
1,860;4,340;5,053;2,727;0,1036;0,121;0,065
1,880;4,442;5,105;2,945;0,1060;0,122;0,070
1,900;4,544;5,171;3,163;0,1085;0,123;0,076
1,920;4,648;5,236;3,163;0,1110;0,125;0,076
1,940;4,755;5,301;2,945;0,1135;0,127;0,070
1,960;4,860;5,354;2,836;0,1160;0,128;0,068
1,980;4,968;5,406;2,836;0,1186;0,129;0,068
2,000;5,077;5,472;2,945;0,1212;0,131;0,070
2,020;5,187;5,524;3,054;0,1238;0,132;0,073
2,040;5,298;5,589;3,163;0,1265;0,133;0,076
2,060;5,410;5,655;3,163;0,1292;0,135;0,076
2,080;5,524;5,720;2,945;0,1319;0,137;0,070
2,100;5,639;5,773;2,836;0,1346;0,138;0,068
2,120;5,755;5,825;2,945;0,1374;0,139;0,070
2,140;5,872;5,890;3,163;0,1402;0,141;0,076
2,160;5,991;5,956;3,272;0,1430;0,142;0,078
2,180;6,110;6,021;3,272;0,1459;0,144;0,078
2,200;6,231;6,087;3,163;0,1488;0,145;0,076
2,220;6,354;6,152;2,945;0,1517;0,147;0,070
2,240;6,478;6,205;2,727;0,1547;0,148;0,065
2,260;6,602;6,257;2,727;0,1576;0,149;0,065
2,280;6,728;6,309;2,836;0,1606;0,151;0,068
2,300;6,855;6,375;2,836;0,1637;0,152;0,068
2,320;6,982;6,427;2,836;0,1667;0,153;0,068
2,340;7,113;6,480;2,945;0,1698;0,155;0,070
2,360;7,241;6,545;3,163;0,1729;0,156;0,076
2,380;7,373;6,610;3,054;0,1760;0,158;0,073
2,400;7,507;6,676;2,727;0,1792;0,159;0,065
2,420;7,640;6,715;2,618;0,1824;0,160;0,062
2,440;7,775;6,768;2,945;0,1856;0,162;0,070
2,460;7,911;6,833;3,382;0,1889;0,163;0,081
2,480;8,049;6,912;3,382;0,1922;0,165;0,081
2,500;8,187;6,977;3,163;0,1955;0,167;0,076
2,520;8,328;7,029;3,054;0,1988;0,168;0,073
2,540;8,468;7,095;3,163;0,2022;0,169;0,076
2,560;8,611;7,160;3,163;0,2056;0,171;0,076
2,580;8,756;7,226;3,054;0,2090;0,173;0,073
2,600;8,900;7,278;3,054;0,2125;0,174;0,073
2,620;9,046;7,343;3,054;0,2160;0,175;0,073
2,640;9,194;7,409;2,945;0,2195;0,177;0,070
2,660;9,343;7,461;2,727;0,2231;0,178;0,065
2,680;9,492;7,514;2,727;0,2266;0,179;0,065
2,700;9,643;7,566;2,945;0,2302;0,181;0,070
2,720;9,795;7,631;3,054;0,2338;0,182;0,073
2,740;9,948;7,697;2,945;0,2375;0,184;0,070
2,760;10,103;7,749;2,727;0,2412;0,185;0,065
2,780;10,259;7,802;2,727;0,2449;0,186;0,065
2,800;10,414;7,854;2,836;0,2486;0,188;0,068
2,820;10,573;7,919;2,836;0,2524;0,189;0,068
2,840;10,732;7,972;2,836;0,2562;0,190;0,068
2,860;10,892;8,024;2,945;0,2600;0,192;0,070
2,880;11,052;8,090;3,054;0,2639;0,193;0,073
2,900;11,215;8,155;2,945;0,2678;0,195;0,070
2,920;11,379;8,207;2,836;0,2717;0,196;0,068
2,940;11,544;8,260;2,945;0,2756;0,197;0,070
2,960;11,709;8,325;3,163;0,2795;0,199;0,076
2,980;11,877;8,391;3,272;0,2835;0,200;0,078
3,000;12,045;8,456;3,382;0,2876;0,202;0,081
3,020;12,215;8,522;3,491;0,2916;0,203;0,083
3,040;12,386;8,600;3,382;0,2957;0,205;0,081
3,060;12,559;8,666;3,054;0,2998;0,207;0,073
3,080;12,733;8,718;2,727;0,3040;0,208;0,065
3,100;12,907;8,770;2,618;0,3081;0,209;0,062
3,120;13,083;8,823;2,618;0,3123;0,211;0,062
3,140;13,261;8,875;2,727;0,3166;0,212;0,065
3,160;13,438;8,927;2,945;0,3208;0,213;0,070
3,180;13,617;8,993;3,054;0,3251;0,215;0,073
3,200;13,798;9,058;2,945;0,3294;0,216;0,070
3,220;13,980;9,111;2,836;0,3338;0,217;0,068
3,240;14,162;9,163;3,054;0,3381;0,219;0,073
3,260;14,346;9,228;3,382;0,3425;0,220;0,081
3,280;14,531;9,307;3,491;0,3469;0,222;0,083
3,300;14,718;9,372;3,272;0,3514;0,224;0,078
3,320;14,907;9,438;2,945;0,3559;0,225;0,070
3,340;15,095;9,490;2,727;0,3604;0,227;0,065
3,360;15,287;9,543;2,618;0,3650;0,228;0,063
3,380;15,477;9,595;2,727;0,3695;0,229;0,065
3,400;15,670;9,647;2,836;0,3741;0,230;0,068
3,420;15,863;9,713;2,945;0,3787;0,232;0,070
3,440;16,058;9,765;3,054;0,3834;0,233;0,073
3,460;16,255;9,831;3,054;0,3881;0,235;0,073
3,480;16,451;9,896;2,836;0,3927;0,236;0,068
3,500;16,650;9,948;2,400;0,3975;0,237;0,057
3,520;16,850;9,988;2,291;0,4023;0,238;0,055
3,540;17,049;10,027;2,727;0,4070;0,239;0,065
3,560;17,250;10,092;3,272;0,4118;0,241;0,078
3,580;17,453;10,171;3,382;0,4167;0,243;0,081
3,600;17,657;10,236;3,054;0,4215;0,244;0,073
3,620;17,863;10,289;2,727;0,4265;0,246;0,065
3,640;18,069;10,341;2,727;0,4314;0,247;0,065
3,660;18,276;10,393;2,945;0,4363;0,248;0,070
3,680;18,485;10,459;3,163;0,4413;0,250;0,076
3,700;18,694;10,524;3,272;0,4463;0,251;0,078
3,720;18,906;10,590;3,163;0,4514;0,253;0,076
3,740;19,118;10,655;2,945;0,4564;0,254;0,070
3,760;19,332;10,708;2,727;0,4615;0,256;0,065
3,780;19,547;10,760;2,727;0,4667;0,257;0,065
3,800;19,762;10,812;2,945;0,4718;0,258;0,070
3,820;19,979;10,878;3,054;0,4770;0,260;0,073
3,840;20,197;10,943;2,945;0,4822;0,261;0,070
3,860;20,417;10,996;2,836;0,4874;0,263;0,068
3,880;20,637;11,048;2,945;0,4927;0,264;0,070
3,900;20,859;11,113;3,054;0,4980;0,265;0,073
3,920;21,082;11,179;2,945;0,5033;0,267;0,070
3,940;21,306;11,231;2,836;0,5087;0,268;0,068
3,960;21,531;11,284;2,945;0,5140;0,269;0,070
3,980;21,757;11,349;3,054;0,5194;0,271;0,073
4,000;21,985;11,414;2,945;0,5249;0,273;0,070
4,020;22,214;11,467;2,727;0,5303;0,274;0,065
4,040;22,444;11,519;2,509;0,5358;0,275;0,060
4,060;22,674;11,572;2,073;0,5413;0,276;0,049
4,080;22,907;11,611;1,418;0,5469;0,277;0,034
4,100;23,139;11,624;0,873;0,5524;0,278;0,021
4,120;23,372;11,637;0,545;0,5580;0,278;0,013
4,140;23,604;11,650;0,218;0,5635;0,278;0,005
4,160;23,838;11,650;-0,218;0,5691;0,278;-0,005
4,180;24,071;11,637;-0,436;0,5747;0,278;-0,010
4,200;24,303;11,624;-0,327;0,5802;0,277;-0,008
4,220;24,536;11,624;-0,218;0,5858;0,277;-0,005
4,240;24,768;11,624;-0,327;0,5913;0,278;-0,008
4,260;25,001;11,611;-0,545;0,5969;0,277;-0,013
4,280;25,233;11,598;-0,764;0,6024;0,277;-0,018
4,300;25,464;11,585;-0,982;0,6079;0,277;-0,023
