Time (s);Angle (rad);Angular Velocity (rad/s);Angular Acceleration (rad/s²);Position (m);Velocity (m/s);Acceleration (m/s²)
4,320;25,697;11,558;-1,091;0,6135;0,276;-0,026
4,340;25,928;11,532;-0,764;0,6190;0,275;-0,018
4,360;26,157;11,519;-0,109;0,6245;0,275;-0,003
4,380;26,388;11,532;0,327;0,6300;0,275;0,008
4,400;26,619;11,545;0,218;0,6355;0,276;0,005
4,420;26,850;11,545;-0,218;0,6410;0,276;-0,005
4,440;27,081;11,532;-0,436;0,6465;0,275;-0,010
4,460;27,311;11,519;-0,327;0,6520;0,275;-0,008
4,480;27,541;11,519;-0,218;0,6575;0,275;-0,005
4,500;27,772;11,519;-0,327;0,6630;0,275;-0,008
4,520;28,003;11,506;-0,436;0,6685;0,275;-0,010
4,540;28,232;11,493;-0,327;0,6740;0,274;-0,008
4,560;28,461;11,493;-0,218;0,6795;0,274;-0,005
4,580;28,692;11,493;-0,327;0,6850;0,274;-0,008
4,600;28,922;11,480;-0,436;0,6905;0,274;-0,010
4,620;29,151;11,467;-0,327;0,6959;0,274;-0,008
4,640;29,380;11,467;-0,218;0,7014;0,274;-0,005
4,660;29,610;11,467;-0,327;0,7069;0,274;-0,008
4,680;29,839;11,454;-0,436;0,7124;0,273;-0,010
4,700;30,068;11,441;-0,327;0,7178;0,273;-0,008
4,720;30,296;11,441;-0,109;0,7233;0,273;-0,003
4,740;30,525;11,441;1,066E-12;0,7287;0,273;2,637E-14
4,760;30,755;11,441;0,109;0,7342;0,273;0,003
4,780;30,982;11,441;0,218;0,7397;0,273;0,005
4,800;31,212;11,454;0,109;0,7451;0,273;0,003
4,820;31,441;11,454;-0,109;0,7506;0,273;-0,003
4,840;31,670;11,441;-0,218;0,7561;0,273;-0,005
4,860;31,898;11,441;-0,109;0,7615;0,273;-0,003
4,880;32,128;11,441;-0,109;0,7670;0,273;-0,003
4,900;32,357;11,441;-0,218;0,7725;0,273;-0,005
4,920;32,585;11,428;-0,218;0,7779;0,273;-0,005
4,940;32,814;11,428;-0,109;0,7834;0,273;-0,003
4,960;33,042;11,428;4,396E-12;0,7888;0,273;1,388E-15
4,980;33,271;11,428;-0,109;0,7943;0,273;-0,003
5,000;33,499;11,428;-0,327;0,7997;0,273;-0,008
5,020;33,728;11,414;-0,545;0,8052;0,272;-0,013
5,040;33,956;11,401;-0,654;0,8106;0,272;-0,016
5,060;34,184;11,388;-0,654;0,8161;0,272;-0,016
5,080;34,411;11,375;-0,545;0,8215;0,272;-0,013
5,100;34,639;11,362;-0,327;0,8270;0,271;-0,008
5,120;34,865;11,362;-0,109;0,8324;0,271;-0,003
5,140;35,093;11,362;-0,109;0,8378;0,271;-0,003
5,160;35,321;11,362;-0,218;0,8432;0,271;-0,005
5,180;35,547;11,349;;0,8486;0,271;
5,200;35,775;11,349;;0,8541;0,271;
5,220;36,001;;;0,8595;;
